Category,Keyword,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Company_Reply,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
Post&Comment,Burger King,https://twitter.com/LoGicM_/status/1483202652557164547,LoGicMoTion,https://twitter.com/@LoGicM_,2022-01-17T22:20:43.000Z,Burger King gotta be the worst fast food joint of the decade. Jack in the box ain't far behind.,,"https://video.twimg.com/tweet_video/FJUq3C9XwAI6Kgl.mp4, ",False,,9,5,22,N/A
Post&Comment,Burger King,https://twitter.com/thDRAGnrebOrN/status/1483170811787763715,MessyElliotT,https://twitter.com/@thDRAGnrebOrN,2022-01-17T20:14:12.000Z,Who do I have to fuck around here to become the Burger Prince? Burger King needs a worthy heir.,,"https://video.twimg.com/tweet_video/FJUq3C9XwAI6Kgl.mp4, ",False,,2,8,28,N/A
Post&Comment,Burger King,https://twitter.com/GodCloseMyEyes/status/1483183952697380872,Nightmare Vision,https://twitter.com/@GodCloseMyEyes,2022-01-17T21:06:25.000Z,"they had a vigil for the 19 year old girl killed working at burger king outside the burger king she was fearfully begging not to work at anymore, also the killer previously worked at the same burger king",,"https://video.twimg.com/tweet_video/FJUq3C9XwAI6Kgl.mp4, ",False,,10,53,886,N/A
Post&Comment,Burger King,https://twitter.com/mothertrouble_/status/1483138784153649153,mc,https://twitter.com/@mothertrouble_,2022-01-17T18:06:56.000Z,I pulled up to my local Starbucks and the girl said “Hey welcome to Burger King how can I help you?”,"https://pbs.twimg.com/tweet_video_thumb/FJUq3C9XwAI6Kgl.jpg, ","https://video.twimg.com/tweet_video/FJUq3C9XwAI6Kgl.mp4, ",False,,1,1,14,N/A
Post&Comment,Burger King,https://twitter.com/Treep52/status/1483113646339330054,Abby Normal in Texas,https://twitter.com/@Treep52,2022-01-17T16:27:02.000Z,"Am I the only one who has seen a LOT of commercials for, ""plant-based"" food?  In the past week, I've seen ads for ""new plant-based"" chicken at KFC, burgers at Burger King & Morningstar Farms, & chorizo at Chipolte.

WHY?  Is it cheaper to make or are we running out of REAL food?",,"https://video.twimg.com/tweet_video/FJUq3C9XwAI6Kgl.mp4, ",False,,4,2,5,N/A
Post&Comment,Burger King,https://twitter.com/stostormorm/status/1483195432993972229,storm°,https://twitter.com/@stostormorm,2022-01-17T21:52:02.000Z,“let’s go to burger king”,,"https://video.twimg.com/tweet_video/FJUq3C9XwAI6Kgl.mp4, ",False,,1,0,2,N/A
Post&Comment,Burger King,https://twitter.com/Stap_Jr/status/1483148833722880002,Stap the Mattness,https://twitter.com/@Stap_Jr,2022-01-17T18:46:52.000Z,Anybody who is somebody is in the drive-thru at the new Burger King in town.,,"https://video.twimg.com/tweet_video/FJUq3C9XwAI6Kgl.mp4, ",False,,0,10,19,N/A
Post&Comment,Burger King,https://twitter.com/Fatsgordo/status/1483205648653291521,Fats Gordo,https://twitter.com/@Fatsgordo,2022-01-17T22:32:37.000Z,"Burger King, it's time. Release the Martin Burger King sandwich",,"https://video.twimg.com/tweet_video/FJUq3C9XwAI6Kgl.mp4, ",False,,0,3,15,N/A
Post&Comment,Burger King,https://twitter.com/FreaKill1999/status/1483222738152136705,John F. Kennedy,https://twitter.com/@FreaKill1999,2022-01-17T23:40:32.000Z,"Looks like I didn't have Covid, but rather food poisoning from Burger King. I won't be eating from that place for the next decade. RIP Bacon King",,"https://video.twimg.com/tweet_video/FJUq3C9XwAI6Kgl.mp4, ",False,,2,0,11,N/A
Post&Comment,Burger King,https://twitter.com/LFCgems/status/1483156702782500870,.,https://twitter.com/@LFCgems,2022-01-17T19:18:08.000Z,"Replying to 
@ftblmiguel","https://pbs.twimg.com/media/FJU7KPlXoAEXBnc?format=jpg&name=small, ","https://video.twimg.com/tweet_video/FJUq3C9XwAI6Kgl.mp4, blob:https://twitter.com/c13c83a4-0530-4394-9dc3-2a8304bb541e, ",False,,0,2,127,N/A
Post&Comment,Burger King,https://twitter.com/otteritarian/status/1483118767945228296,Otter Braun,https://twitter.com/@otteritarian,2022-01-17T16:47:23.000Z,"I has been waiting 15 minutes fur my order now 
@BurgerKing
. This is unacceptable and I is getting hangry!","https://pbs.twimg.com/ext_tw_video_thumb/1483118733790957577/pu/img/EquPLSNKzbzLK06d.jpg, ","https://video.twimg.com/tweet_video/FJUq3C9XwAI6Kgl.mp4, blob:https://twitter.com/c13c83a4-0530-4394-9dc3-2a8304bb541e, ",False,"Hi. Please send us a DM, so we can follow up with you. Thanks!",8,9,157,N/A
