Date,Symbol,CompanyName,ClosingPrice,FiftyDayAverage,TwentyDayAverage,FiftyDayAverageLast,TwentyDayAverageLast,TwoHundredDayAverage,TwoHundredTotalLastAverage
05/05/2023,AAPL,Apple Inc,173.38,159.737,166.02,159.2574,165.584,40.6812,38.9854
05/05/2023,ADP,Auto Data Processing,214.26,216.8684,215.86,217.0388,215.9525,55.331,53.1906
