"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"AEV","AVENIRA LIMITED","Materials","10/10/2006",26815112
"AFA","ASF GROUP LIMITED","Financial Services","29/05/1985",49921045
"AFG","AUSTRALIAN FINANCE GROUP LTD","Financial Services","22/05/2015",483762378
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","Not Applic","30/06/1962",8806475167
"AFL","AF LEGAL GROUP LTD","Commercial & Professional Services","19/09/2003",18069126
"AFP","AFT PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/12/2015",357593947
"AFW","APPLYFLOW LIMITED","Media & Entertainment","30/11/2010",2218210
"AGC","AUSTRALIAN GOLD AND COPPER LTD","Materials","20/01/2021",5800000
"AGD","AUSTRAL GOLD LIMITED","Materials","18/04/1997",21430897
"AGE","ALLIGATOR ENERGY LIMITED","Energy","03/02/2011",115707163
"AGH","ALTHEA GROUP HOLDINGS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/09/2018",19064429
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","Consumer Services","17/12/2001",363737443
"AGL","AGL ENERGY LIMITED.","Utilities","12/10/2006",8072966796
"AGN","ARGENICA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","11/06/2021",37373312
"AGR","AGUIA RESOURCES LIMITED","Materials","13/02/2008",9544794
"AGY","ARGOSY MINERALS LIMITED","Materials","03/04/1997",540696887
"AHC","AUSTCO HEALTHCARE LIMITED","Health Care Equipment & Services","24/09/2004",50888279
"AHF","AUSTRALIAN DAIRY NUTRITIONALS LIMITED","Food, Beverage & Tobacco","30/06/2006",14429070
"AHI","ADVANCED HEALTH INTELLIGENCE LTD","Software & Services","17/08/2015",46806353
"AHK","ARK MINES LIMITED","Materials","09/05/2011",14053951
"AHL","ADRAD HOLDINGS LIMITED","Automobiles & Components","30/09/2022",75814276
"AHN","ATHENA RESOURCES LIMITED","Materials","22/11/2006",5352338
"AHQ","ALLEGIANCE COAL LIMITED","Materials","29/05/2012","SUSPENDED"
"AHX","APIAM ANIMAL HEALTH LIMITED","Health Care Equipment & Services","15/12/2015",92252791
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","Transportation","22/02/1999",11147212107
"AIB","AURORA GLOBAL INCOME TRUST","Not Applic","24/12/2007","SUSPENDED"
"AII","ALMONTY INDUSTRIES INC.","Materials","02/08/2021",133815536
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","Commercial & Professional Services","15/09/2020",54144774
"AIQ","ALTERNATIVE INVESTMENT TRUST","Not Applic","08/05/2005",42743592
"AIS","AERIS RESOURCES LIMITED","Materials","02/02/2011",269468782
"AIV","ACTIVEX LIMITED","Materials","11/04/2006",4310052
"AIZ","AIR NEW ZEALAND LIMITED","Transportation","01/10/1997",2425294308
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","Health Care Equipment & Services","19/03/2007","SUSPENDED"
"AJL","AJ LUCAS GROUP LIMITED","Capital Goods","10/08/1999",19260215
"AJQ","ARMOUR ENERGY LIMITED","Energy","26/04/2012",12303355
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","Materials","22/12/1999",11073626
"AJY","ASAPLUS RESOURCES LIMITED","Materials","16/11/2012",1360000
"AKE","ALLKEM LIMITED","Materials","04/12/2007",10170646472
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","Consumer Services","01/06/1977",54371931
"AKM","ASPIRE MINING LIMITED","Materials","06/02/2007",37565137
"AKN","AUKING MINING LIMITED","Materials","29/10/2007",14695467
"AKO","AKORA RESOURCES LIMITED","Materials","15/12/2020",18996563
"AKP","AUDIO PIXELS HOLDINGS LIMITED","Consumer Durables & Apparel","24/12/2004",350521200
"AL3","AML3D LIMITED","Capital Goods","20/04/2020",14368776
"AL8","ALDERAN RESOURCES LIMITED","Materials","09/06/2017",6166946
"ALA","AROVELLA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/01/2002",43159186
"ALB","ALBION RESOURCES LIMITED","Materials","30/04/2021",4568667
"ALC","ALCIDION GROUP LIMITED","Health Care Equipment & Services","24/06/2011",139487596
"ALD","AMPOL LIMITED","Energy","31/12/1980",7754350301
"ALG","ARDENT LEISURE GROUP LIMITED","Consumer Services","30/11/2018",227860358
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","Not Applic","03/07/2015",389573921
"ALK","ALKANE RESOURCES LIMITED","Materials","07/10/1980",469227743
"ALL","ARISTOCRAT LEISURE LIMITED","Consumer Services","09/07/1996",25085329023
"ALM","ALMA METALS LIMITED","Energy","18/04/2007",14482010
"ALO","ALLOGGIO GROUP LIMITED","Consumer Services","29/11/2021",47171555
"ALQ","ALS LIMITED","Commercial & Professional Services","18/07/1952",5485619860
"ALT","ANALYTICA LIMITED","Health Care Equipment & Services","25/10/2000","SUSPENDED"
"ALU","ALTIUM LIMITED","Software & Services","04/08/1999",4838030888
"ALV","ALVO MINERALS LIMITED","Materials","20/10/2021",26382781
"ALX","ATLAS ARTERIA","Transportation","25/01/2010",9009677320
"ALY","ALCHEMY RESOURCES LIMITED","Materials","26/11/2007",17671144
"AM7","ARCADIA MINERALS LIMITED","Materials","25/06/2021",10345511
"AMA","AMA GROUP LIMITED","Commercial & Professional Services","31/08/2006",112672373
"AMC","AMCOR PLC","Materials","28/08/1969",21350799644
"AMD","ARROW MINERALS LTD","Materials","28/10/2005",12095060
"AME","ALTO METALS LIMITED","Materials","20/12/2012",34317667
"AMH","AMCIL LIMITED","Not Applic","10/02/2000",315006085
"AMI","AURELIA METALS LIMITED","Materials","08/05/2007",156685036
"AML","AEON METALS LIMITED.","Materials","14/06/2007",19989011
"AMM","ARMADA METALS LIMITED","Materials","15/12/2021",4680000
"AMN","AGRIMIN LIMITED","Materials","09/10/2007",67762834
"AMO","AMBERTECH LIMITED","Technology Hardware & Equipment","10/12/2004",22378757
"AMP","AMP LIMITED","Financial Services","15/06/1998",2994502493
"AMS","ATOMOS LIMITED","Consumer Durables & Apparel","28/12/2018","SUSPENDED"
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","Health Care Equipment & Services","05/12/2007",6163093
"AMX","AEROMETREX LIMITED","Commercial & Professional Services","10/12/2019",35084051
"AN1","ANAGENICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/12/2005",5118680
"AND","ANSARADA GROUP LIMITED","Software & Services","14/02/2020",101395870
"ANG","AUSTIN ENGINEERING LIMITED","Capital Goods","09/03/2004",163335084
"ANL","AMANI GOLD LIMITED","Materials","14/12/2006",25143441
"ANN","ANSELL LIMITED","Health Care Equipment & Services","22/08/1985",3017002147
"ANO","ADVANCE ZINCTEK LIMITED","Materials","24/02/2005",105509605
"ANP","ANTISENSE THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","20/12/2001",36812299
"ANR","ANATARA LIFESCIENCES LTD","Pharmaceuticals, Biotechnology & Life Sciences","16/10/2014",4317263
"ANX","ANAX METALS LIMITED","Materials","15/06/2004",26610664
"ANZ","ANZ GROUP HOLDINGS LIMITED","Banks","30/09/1969",75613018052
"AO1","ASSETOWL LIMITED","Software & Services","30/05/2011",1947130
"AOA","AUSMON RESOURCES LIMITED","Materials","31/03/2009",4134357
"AOF","AUSTRALIAN UNITY OFFICE FUND","Equity Real Estate Investment Trusts (REITs)","20/06/2016",208766965
"AON","APOLLO MINERALS LIMITED","Materials","31/10/2007",15797487
"APA","APA GROUP","Utilities","13/06/2000",11503965018
"APC","AUSTRALIAN POTASH LIMITED","Materials","20/12/2011",8309432
"APE","EAGERS AUTOMOTIVE LIMITED","Consumer Discretionary Distribution & Retail","17/04/1957",3673675863
"APL","ASSOCIATE GLOBAL PARTNERS LIMITED","Financial Services","30/09/2004",12105222
"APM","APM HUMAN SERVICES INTERNATIONAL LIMITED","Commercial & Professional Services","12/11/2021",1861879350
"APS","ALLUP SILICA LIMITED","Materials","02/05/2022",6760933
"APW","AIMS PROPERTY SECURITIES FUND","Equity Real Estate Investment Trusts (REITs)","17/12/2004",54313281
"APX","APPEN LIMITED","Software & Services","07/01/2015",349317364
"APZ","ASPEN GROUP","Equity Real Estate Investment Trusts (REITs)","11/04/1991",313090146
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","Materials","17/12/1999",51228366
"AQD","AUSQUEST LIMITED","Materials","25/11/2003",12377238
"AQI","ALICANTO MINERALS LIMITED","Materials","19/09/2012",27016840
"AQN","AQUIRIAN LIMITED","Commercial & Professional Services","27/07/2021",16112355
"AQS","AQUIS ENTERTAINMENT LIMITED","Consumer Services","02/12/2011",33325389
"AQX","ALICE QUEEN LIMITED","Materials","09/09/2004",2530297
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","Transportation","20/12/2011",528817153
"AR1","AUSTRAL RESOURCES AUSTRALIA LTD","Materials","03/11/2021",113340653
"AR3","AUSTRALIAN RARE EARTHS LIMITED","Materials","01/07/2021",47020618
"AR9","ARCHTIS LIMITED","Software & Services","21/09/2018",34269640
"ARA","ARIADNE AUSTRALIA LIMITED","Commercial & Professional Services","12/10/1982",112682271
"ARB","ARB CORPORATION LIMITED.","Automobiles & Components","26/06/1987",2461336984
"ARC","ARC FUNDS LIMITED","Financial Services","14/04/2000",7218324
"ARD","ARGENT MINERALS LIMITED","Materials","03/04/2008",12968793
"ARE","ARGONAUT RESOURCES NL","Materials","23/01/1986",7316152
"ARF","ARENA REIT.","Equity Real Estate Investment Trusts (REITs)","13/06/2013",1311636981
"ARG","ARGO INVESTMENTS LIMITED","Not Applic","31/03/1963",6679186794
"ARL","ARDEA RESOURCES LIMITED","Materials","09/02/2017",125483184
"ARN","ALDORO RESOURCES LIMITED","Materials","13/09/2018",22212918
"ARR","AMERICAN RARE EARTHS LIMITED","Materials","17/02/2011",73841344
"ART","AIRTASKER LIMITED","Media & Entertainment","23/03/2021",83339592
"ARU","ARAFURA RARE EARTHS LTD","Materials","05/11/2003",655143055
"ARV","ARTEMIS RESOURCES LIMITED","Materials","16/03/2007",25118694
"ARX","AROA BIOSURGERY LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/07/2020",315660711
"AS2","ASKARI METALS LIMITED","Materials","07/07/2021",19957270
"ASB","AUSTAL LIMITED","Capital Goods","08/12/1998",931475619
"ASE","ASTUTE METALS NL","Materials","14/08/1986",17191633
"ASG","AUTOSPORTS GROUP LIMITED.","Consumer Discretionary Distribution & Retail","16/11/2016",444210000
"ASH","ASHLEY SERVICES GROUP LIMITED","Commercial & Professional Services","21/08/2014",100063253
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","Materials","30/07/2020",195878642
"ASN","ANSON RESOURCES LIMITED","Materials","08/07/2010",203283770
"ASO","ASTON MINERALS LIMITED","Materials","04/03/2011",72457511
"ASP","ASPERMONT LIMITED.","Media & Entertainment","27/04/2000",31703928
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","Materials","22/10/2007",19434566
"ASR","ASRA MINERALS LIMITED","Materials","30/06/1986",12963484
"ASW","ADVANCED SHARE REGISTRY LIMITED","Financial Services","10/06/2008",23208933
"ASX","ASX LIMITED","Financial Services","14/10/1998",11927397931
"AT1","ATOMO DIAGNOSTICS LIMITED","Health Care Equipment & Services","16/04/2020",18781937
"ATA","ATTURRA LIMITED","Software & Services","22/12/2021",206947197
"ATC","ALTECH BATTERIES LTD","Materials","27/01/2010",105812857
"ATH","ALTERITY THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","28/03/2000",17079283
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","Materials","09/08/1999",5288202253
"ATP","ATLAS PEARLS LTD","Consumer Durables & Apparel","31/12/1993",17114870
"ATR","ASTRON CORPORATION LIMITED","Materials","11/11/1983",60814904
"ATS","AUSTRALIS OIL & GAS LIMITED","Energy","25/07/2016",39097084
"ATU","ATRUM COAL LIMITED","Materials","24/07/2012","SUSPENDED"
"ATV","ACTIVEPORT GROUP LTD","Software & Services","20/10/2021",30601495
"ATX","AMPLIA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/12/2013",15132451
"AU1","THE AGENCY GROUP AUSTRALIA LTD","Real Estate Management & Development","18/12/2007",14571604
"AUA","AUDEARA LIMITED","Consumer Durables & Apparel","18/05/2021",6018600
"AUB","AUB GROUP LIMITED","Insurance","16/11/2005",3111241294
"AUC","AUSGOLD LIMITED","Materials","16/12/2009",98734072
"AUE","AURUM RESOURCES LIMITED","Materials","02/11/2021",3600000
"AUG","AUGUSTUS MINERALS LIMITED","Materials","25/05/2023",36753750
"AUH","AUSTCHINA HOLDINGS LIMITED","Energy","17/03/2003",10389418
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","Not Applic","01/01/1974",1231678627
"AUK","AUMAKE LIMITED.","Consumer Discretionary Distribution & Retail","07/12/2011",7436297
"AUN","AURUMIN LIMITED","Materials","09/12/2020",7966069
"AUQ","ALARA RESOURCES LIMITED","Materials","24/05/2007",17952189
"AUR","AURIS MINERALS LIMITED","Materials","15/03/2001",6672763
"AUT","AUTECO MINERALS LTD","Materials","21/09/2005",85574943
"AUZ","AUSTRALIAN MINES LIMITED","Materials","28/09/2001",16345559
"AV1","ADVERITAS LIMITED","Software & Services","18/12/2012",29128621
"AVA","AVA RISK GROUP LIMITED","Technology Hardware & Equipment","11/05/2015",49805854
"AVC","AUCTUS INVESTMENT GROUP LIMITED","Financial Services","10/08/2011",59670075
"AVD","AVADA GROUP LIMITED","Commercial & Professional Services","17/12/2021",58614686
"AVE","AVECHO BIOTECHNOLOGY LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/08/1993",12972982
"AVG","AUSTRALIAN VINTAGE LTD","Food, Beverage & Tobacco","26/03/1992",110529338
"AVH","AVITA MEDICAL INC.","Pharmaceuticals, Biotechnology & Life Sciences","24/06/2020",673089417
"AVJ","AVJENNINGS LIMITED","Consumer Durables & Apparel","27/01/1994",172615219
"AVL","AUSTRALIAN VANADIUM LIMITED","Materials","21/02/2007",144073379
"AVM","ADVANCE METALS LIMITED","Materials","20/12/2007",4119911
"AVR","ANTERIS TECHNOLOGIES LTD","Health Care Equipment & Services","24/03/2004",341453828
"AVW","AVIRA RESOURCES LTD","Materials","09/01/2013",4267580
"AVZ","AVZ MINERALS LIMITED","Materials","14/09/2007","SUSPENDED"
"AW1","AMERICAN WEST METALS LIMITED","Materials","13/12/2021",72625208
"AWC","ALUMINA LIMITED","Materials","31/10/1961",3931778320
"AWJ","AURIC MINING LIMITED","Materials","12/02/2021",7589856
"AX1","ACCENT GROUP LIMITED","Consumer Discretionary Distribution & Retail","07/07/2004",941944228
"AX8","ACCELERATE RESOURCES LIMITED","Materials","14/02/2018",8920641
"AXE","ARCHER MATERIALS LIMITED","Semiconductors & Semiconductor Equipment","14/08/2007",147811268
"AXI","AXIOM PROPERTIES LIMITED","Real Estate Management & Development","31/01/1997",17308546
"AXN","ALLIANCE NICKEL LIMITED","Materials","21/08/1980",67745097
"AXP","AXP ENERGY LIMITED","Energy","20/07/2006",11649361
"AYA","ARTRYA LIMITED","Health Care Equipment & Services","26/11/2021",18063968
"AYI","A1 INVESTMENTS & RESOURCES LTD","Financial Services","02/10/2007",20527433
"AYM","AUSTRALIA UNITED MINING LIMITED","Materials","19/09/2011",7370310
"AYT","AUSTIN METALS LIMITED","Materials","06/07/2011",9142872
"AZI","ALTAMIN LIMITED","Materials","24/12/2009",31337340
"AZJ","AURIZON HOLDINGS LIMITED","Transportation","22/11/2010",6884232893
"AZL","ARIZONA LITHIUM LIMITED","Materials","08/07/1971",91128811
"AZS","AZURE MINERALS LIMITED","Materials","16/12/2003",766813881
"AZY","ANTIPA MINERALS LIMITED","Materials","20/04/2011",57552824
"B4P","BEFOREPAY GROUP LIMITED","Financial Services","17/01/2022",23704740
"BAP","BAPCOR LIMITED","Consumer Discretionary Distribution & Retail","24/04/2014",2094175125
"BAS","BASS OIL LIMITED","Energy","30/09/2004",26839444
"BAT","BATTERY MINERALS LIMITED","Materials","29/10/2012",16744630
"BBC","BNK BANKING CORPORATION LIMITED","Banks","22/05/2012",41551792
"BBL","BRISBANE BRONCOS LIMITED","Media & Entertainment","12/05/1989",91177788
"BBN","BABY BUNTING GROUP LIMITED","Consumer Discretionary Distribution & Retail","14/10/2015",225968369
"BBT","BLUEBET HOLDINGS LTD","Consumer Services","02/07/2021",42042258
"BBX","BBX MINERALS LIMITED","Materials","12/08/2005",26124787
"BC8","BLACK CAT SYNDICATE LIMITED","Materials","30/01/2018",110753728
"BCA","BLACK CANYON LIMITED","Materials","05/05/2021",10343162
"BCB","BOWEN COKING COAL LIMITED","Materials","22/06/1995",295469556
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","Technology Hardware & Equipment","06/11/1986",14259617
"BCI","BCI MINERALS LIMITED","Materials","15/12/2006",321512496
"BCK","BROCKMAN MINING LIMITED","Materials","11/01/2011",287687196
"BCN","BEACON MINERALS LIMITED","Materials","20/10/2006",101432741
"BCT","BLUECHIIP LIMITED","Technology Hardware & Equipment","09/06/2011",14987080
"BDG","BLACK DRAGON GOLD CORP.","Materials","29/08/2018",7625462
"BDM","BURGUNDY DIAMOND MINES LIMITED","Materials","04/01/2013",339849573
"BDT","BIRDDOG TECHNOLOGY LIMITED","Technology Hardware & Equipment","20/12/2021",23816652
"BDX","BCAL DIAGNOSTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/07/2021",14801065
"BEE","BROO LTD","Food, Beverage & Tobacco","14/10/2016","SUSPENDED"
"BEL","BENTLEY CAPITAL LIMITED","Not Applic","07/11/1986",3578012
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","Banks","19/12/1985",5199879102
"BET","BETMAKERS TECHNOLOGY GROUP LTD","Consumer Services","11/12/2015",136813532
"BEX","BIKEEXCHANGE LIMITED","Consumer Discretionary Distribution & Retail","09/02/2021",7134901
"BEZ","BESRA GOLD INC.","Materials","08/10/2021",117365399
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","Food, Beverage & Tobacco","28/08/2015",19970469
"BFG","BELL FINANCIAL GROUP LIMITED","Financial Services","12/12/2007",339988585
"BFL","BSP FINANCIAL GROUP LIMITED","Banks","25/05/2021",2331427695
"BGA","BEGA CHEESE LIMITED","Food, Beverage & Tobacco","19/08/2011",967508576
"BGD","BARTON GOLD HOLDINGS LIMITED","Materials","28/06/2021",48821582
"BGE","BRIDGE SAAS LIMITED","Software & Services","06/10/2022",2643320
"BGL","BELLEVUE GOLD LIMITED","Materials","20/12/2005",1662543399
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","Consumer Discretionary Distribution & Retail","20/07/2017",986852397
"BGT","BIO-GENE TECHNOLOGY LTD","Materials","29/11/2017",17829625
"BHD","BENJAMIN HORNIGOLD LIMITED","Not Applic","12/05/2017",5314153
"BHP","BHP GROUP LIMITED","Materials","13/08/1885",228063241431
"BIM","BINDI METALS LIMITED","Materials","28/06/2022",6113250
"BIO","BIOME AUSTRALIA LIMITED","Household & Personal Products","30/11/2021",19172192
"BIR","BIR FINANCIAL LIMITED","Financial Services","31/07/2006",20061012
"BIS","BISALLOY STEEL GROUP LIMITED","Materials","23/06/2003",94900112
"BIT","BIOTRON LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/01/2001",30666127
"BKG","BOOKTOPIA GROUP LIMITED","Consumer Discretionary Distribution & Retail","03/12/2020",22664284
"BKI","BKI INVESTMENT COMPANY LIMITED","Not Applic","12/12/2003",1441045641
"BKL","BLACKMORES LIMITED","Household & Personal Products","02/05/1985","SUSPENDED"
"BKT","BLACK ROCK MINING LIMITED","Materials","10/12/2003",112894315
"BKW","BRICKWORKS LIMITED","Materials","30/06/1962",3841133655
"BKY","BERKELEY ENERGIA LIMITED","Energy","16/09/2003",307599733
"BLD","BORAL LIMITED.","Materials","21/02/2000",4632971360
"BLG","BLUGLASS LIMITED","Semiconductors & Semiconductor Equipment","22/09/2006",71818146
"BLU","BLUE ENERGY LIMITED.","Energy","13/10/1994",49976287
"BLX","BEACON LIGHTING GROUP LIMITED","Consumer Discretionary Distribution & Retail","15/04/2014",408765246
"BLY","BOART LONGYEAR GROUP LTD","Materials","05/04/2007",473472662
"BLZ","BLAZE MINERALS LIMITED","Energy","12/09/1996",9428374
"BM8","BATTERY AGE MINERALS LTD","Materials","04/11/2020",33865257
"BME","BLACK MOUNTAIN ENERGY LTD","Energy","23/12/2021",9197380
"BMG","BMG RESOURCES LIMITED","Materials","12/05/2004",7569566
"BMH","BAUMART HOLDINGS LIMITED","Capital Goods","19/06/2015",14474476
"BML","BOAB METALS LIMITED","Materials","15/07/2004",28786357
"BMM","BALKAN MINING AND MINERALS LIMITED","Materials","14/07/2021",11909043
"BMN","BANNERMAN ENERGY LTD","Energy","28/04/2005",238559396
"BMO","BASTION MINERALS LIMITED","Materials","16/03/2021",5199727
"BMR","BALLYMORE RESOURCES LIMITED","Materials","03/09/2021",23391562
"BMT","BEAMTREE HOLDINGS LIMITED","Health Care Equipment & Services","06/06/2019",65263392
"BNL","BLUE STAR HELIUM LIMITED","Energy","24/11/1994",47585102
"BNO","BIONOMICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/12/1999",32312179
"BNR","BULLETIN RESOURCES LIMITED","Materials","20/12/2010",16147511
