Postcode,Name,Address,Opening Times,Categories,Rating,Delivery Time,Delivery Cost,Minimum Order,Product Url
1016,Çigköftem,,"Maandag: 11:30 - 22:00
Dinsdag: 11:30 - 22:00
Woensdag: 11:30 - 21:30
Donderdag: 11:30 - 21:30
Vrijdag: 11:30 - 23:00
Zaterdag: 11:30 - 22:45
Zondag: 11:30 - 22:00
","Pakketten, Dürüm, Schaal, Snacks, Falafel, Soepen, Desserts, Extra's, Dranken, ","4,3, op basis van 937 beoordelingen",Bezorgen in 20-45 min,"€ 4,00","€ 23,00",https://www.thuisbezorgd.nl/menu/cigkoftem-west
1016,I Love Sushi,,"Maandag: 16:30 - 21:30
Dinsdag: 16:30 - 21:30
Woensdag: 16:30 - 21:30
Donderdag: 16:30 - 21:30
Vrijdag: 16:30 - 21:30
Zaterdag: 12:00 - 21:30
Zondag: 12:00 - 21:30
","Vip boxen, Poké bowls, Actie sushi boxen, Nigiri, Hosomaki, Futo maki, Gunkan, Appetizers, ","3,9, op basis van 35 beoordelingen",Bezorgen in 20-45 min,"€ 1,50","€ 10,00",https://www.thuisbezorgd.nl/menu/i-love-sushi-amsterdam-haarlemmerdijk-2
1016,Sugoi Sushi,,"Maandag: Gesloten voor bezorging
Dinsdag: Gesloten voor bezorging
Woensdag: 16:00 - 21:00
Donderdag: 16:00 - 21:00
Vrijdag: 16:00 - 21:00
Zaterdag: 16:00 - 21:00
Zondag: 16:00 - 21:00
","Specialiteiten, Menu's, Kabayaki menu's, Uramaki, Warm dishes, Salades, Temaki, Sashimi, ","4,6, op basis van 69 beoordelingen",Bezorgen in 30-55 min,,"€ 15,00",https://www.thuisbezorgd.nl/menu/sugoi-sushi-amsterdam-1
1016,Tandoori Restaurant,"Vespuccistraat 33H, 1057CK Amsterdam, ","Maandag: 15:00 - 01:00
Dinsdag: 15:00 - 01:00
Woensdag: 15:00 - 01:00
Donderdag: 15:00 - 01:00
Vrijdag: 15:00 - 03:00
Zaterdag: 15:00 - 03:00
Zondag: 15:00 - 03:00
","Maandmenu, Special menu's, Indiaase voorgerechten, Tandoori gerechten, Chicken curry gerechten, Lamb curry gerechten, ","4,6, op basis van 4.712 beoordelingen",Bezorgen in 20-45 min,,"€ 15,00",https://www.thuisbezorgd.nl/menu/tandoori-restaurant
1016,Roti 2 Go,,"Maandag: 17:00 - 23:45
Dinsdag: 17:00 - 23:45
Woensdag: 17:00 - 23:45
Donderdag: 17:00 - 23:45
Vrijdag: 17:00 - 23:45
Zaterdag: 17:00 - 23:45
Zondag: 17:00 - 23:45
","Roti menu, Voorgerechten, Exotische broodjes, Roti rollen, Gevulde bara's, Roti gerechten, Nasi gerechten, ","4,1, op basis van 118 beoordelingen",Bezorgen in 20-45 min,"€ 1,99","€ 14,50",https://www.thuisbezorgd.nl/menu/roti-2-go
1016,Pizza Speranza,"Jan Evertsenstraat 103H, 1057BT Amsterdam, ","Maandag: 16:30 - 02:00
Dinsdag: 16:30 - 02:00
Woensdag: 18:00 - 02:00
Donderdag: 16:30 - 02:00
Vrijdag: 16:30 - 04:00
Zaterdag: 16:30 - 04:00
Zondag: 16:30 - 02:00
","Special menu's, Pizza's, Pizza's met dubbele bodem, Dikke bodem pizza's, Vegetarische dikke bodem pizza's, ","4,2, op basis van 135 beoordelingen",Bezorgen in 25-50 min,"€ 2,50","€ 35,00",https://www.thuisbezorgd.nl/menu/pizza-speranza
1016,Toro Asado,"Frans Halsstraat 89 H, 1072BP Amsterdam, ","Maandag: 16:00 - 22:30
Dinsdag: 16:00 - 22:30
Woensdag: 16:00 - 22:30
Donderdag: 16:00 - 22:30
Vrijdag: 16:00 - 22:30
Zaterdag: 16:00 - 22:30
Zondag: 16:00 - 22:30
","Voorgerechten, Complete grill schotels, Verse steaks, Burgers, Tapas, Street food, Bijgerechten, ","3,4, op basis van 645 beoordelingen",Bezorgen in 50-75 min,"€ 2,75","€ 20,00",https://www.thuisbezorgd.nl/menu/toro-asado
1016,Am Sushi,,"Maandag: 11:00 - 21:30
Dinsdag: Gesloten voor bezorging
Woensdag: 16:30 - 21:30
Donderdag: 16:30 - 21:30
Vrijdag: 11:00 - 21:30
Zaterdag: 11:00 - 21:30
Zondag: 11:00 - 21:30
","Poké bowl, Menu's, Donburi, Nigiri, Maki, Inside out rolls, Sashimi, Temaki, Warme gerechten, ","4,2, op basis van 111 beoordelingen",Bezorgen in 20-40 min,"€ 1,50","€ 15,00",https://www.thuisbezorgd.nl/menu/am-sushi
1016,Milky,"Barndesteeg 13H, 1012BV Amsterdam, ","Maandag: Gesloten voor bezorging
Dinsdag: Gesloten voor bezorging
Woensdag: 10:00 - 22:00
Donderdag: 10:00 - 22:00
Vrijdag: 10:00 - 22:00
Zaterdag: 10:00 - 22:00
Zondag: 10:00 - 22:00
","Zoete crepes, Hartige crepes, Milky's zoete keuze, Drinken, Magnum pints 440ml, ","4,2, op basis van 117 beoordelingen",Bezorgen in 45-70 min,"€ 2,99","€ 15,00",https://www.thuisbezorgd.nl/menu/milky
1016,Restaurant Sizz,"Weteringschans 187 C H, 1017XE Amsterdam, ","Maandag: 15:00 - 21:00
Dinsdag: Gesloten voor bezorging
Woensdag: 15:00 - 21:00
Donderdag: 15:00 - 21:00
Vrijdag: 15:00 - 21:30
Zaterdag: 15:00 - 21:30
Zondag: 15:00 - 21:30
","Voorgerechten, Hoofdgerechten, Bijgerechten, Naan, Proeverij, Dranken, Overig, ","4,2, op basis van 89 beoordelingen",Bezorgen in 50-75 min,"€ 3,50","€ 25,00",https://www.thuisbezorgd.nl/menu/sizz-1
1016,Indian Express,,"Maandag: 15:45 - 22:30
Dinsdag: 15:45 - 22:30
Woensdag: 15:45 - 22:30
Donderdag: 15:45 - 22:30
Vrijdag: 15:45 - 22:30
Zaterdag: 15:45 - 22:30
Zondag: 15:45 - 22:30
","Specialiteit van de chef-kok, Menu's, Voorgerechten, Tandoori gerechten, Mughlai chicken curry gerechten, ","4,7, op basis van 3.635 beoordelingen",Bezorgen in 30-55 min,"€ 2,00","€ 20,00",https://www.thuisbezorgd.nl/menu/indian-express
1016,Dosa,,"Maandag: 14:30 - 23:00
Dinsdag: 14:30 - 23:00
Woensdag: 14:30 - 23:00
Donderdag: 14:30 - 23:00
Vrijdag: 14:30 - 23:30
Zaterdag: 14:30 - 23:30
Zondag: 14:30 - 23:00
","Vegan menu's, Dosa menu's, Vegetarische voorgerechten, Voorgerechten, Vegan, ","4,2, op basis van 183 beoordelingen",Bezorgen in 40-65 min,"€ 1,50","€ 16,50",https://www.thuisbezorgd.nl/menu/dosa
1016,Sushi Sakura,,"Maandag: Gesloten voor bezorging
Dinsdag: 16:00 - 23:00
Woensdag: 16:00 - 23:00
Donderdag: 15:30 - 23:00
Vrijdag: 16:00 - 00:00
Zaterdag: 16:00 - 00:00
Zondag: 16:00 - 23:00
","Samen duurzaam, ","4,6, op basis van 797 beoordelingen",Bezorgen in 30-55 min,,"€ 14,99",https://www.thuisbezorgd.nl/menu/sushi-sakura
1016,Amsterdam Poke Bowl,,"Maandag: 16:00 - 22:00
Dinsdag: 16:00 - 22:00
Woensdag: 16:00 - 22:00
Donderdag: 16:00 - 22:00
Vrijdag: 16:00 - 22:00
Zaterdag: 16:00 - 22:00
Zondag: 16:00 - 22:00
","Poké bowls, Creëer je eigen bowl, Snacks, Desserts, Dranken, ","4,1, op basis van 260 beoordelingen",Bezorgen in 25-50 min,"€ 1,50","€ 12,95",https://www.thuisbezorgd.nl/menu/amsterdam-poke-bowl
