Postcode,Name,Address,Opening Times,Categories,Rating,Delivery Time,Delivery Cost,Minimum Order,Product Url
4315,Eetcafé Schouwen,"Sint Domusstraat 19, 4301CM Zierikzee, ","Maandag: 16:00 - 23:50
Dinsdag: 16:00 - 23:50
Woensdag: 16:00 - 23:50
Donderdag: 16:00 - 23:50
Vrijdag: 16:00 - 00:50
Zaterdag: 16:00 - 00:50
Zondag: 16:00 - 23:50
","Pizza's, Lang gerekte pizza's, Schotels, Turkse pizza, Kapsalon, Mixed grill, Mix schotels, Broodjes, ","3,2, op basis van 1.096 beoordelingen",Bezorgen in 20-45 min,"€ 3,00","€ 20,00",https://www.thuisbezorgd.nl/menu/eetcafe-schouwen
4315,Zeeuwse Schatkamer,"Nieuwe Haven 1, 4301DJ Zierikzee, ","Maandag: Gesloten voor bezorging
Dinsdag: Gesloten voor bezorging
Woensdag: 16:00 - 20:00
Donderdag: 16:00 - 20:00
Vrijdag: 16:00 - 20:30
Zaterdag: 16:00 - 20:00
Zondag: 16:00 - 20:00
","Sushi boxen, Poke bowls, Sashimi, Sushi rollen, Sushi per stuk, Snacks, ","4,5, op basis van 209 beoordelingen",Bezorgen in 35-60 min,"€ 7,95","€ 35,00",https://www.thuisbezorgd.nl/menu/zeeuwse-schatkamer
4315,Restaurant Hong Fa,"Verrenieuwstraat 11, 4301HX Zierikzee, ","Maandag: Gesloten voor bezorging
Dinsdag: 17:00 - 20:00
Woensdag: 17:00 - 20:00
Donderdag: Gesloten voor bezorging
Vrijdag: 17:00 - 20:00
Zaterdag: 16:00 - 20:00
Zondag: 16:00 - 20:00
","Kantonese keuken specialiteiten, Soepen, Dim sum en voorgerechten, Nasi gerechten, Bami gerechten, ","3,5, op basis van 1.838 beoordelingen",Bezorgen in 35-60 min,"€ 4,00","€ 20,00",https://www.thuisbezorgd.nl/menu/restaurant-hong-fa
4315,Akino,"Fonteine 1, 4301AG Zierikzee, ","Maandag: 16:00 - 23:50
Dinsdag: 16:00 - 23:50
Woensdag: 16:00 - 23:50
Donderdag: 16:00 - 23:50
Vrijdag: 16:00 - 00:50
Zaterdag: 16:00 - 00:50
Zondag: 16:00 - 23:50
","Kapsalon, Pizza's, Turkse pizza, Pasta's, Schotels, Salades, Dürüm, Mix schotels, Kindermenu's, ","4,4, op basis van 1.354 beoordelingen",Bezorgen in 20-45 min,"€ 3,00","€ 25,00",https://www.thuisbezorgd.nl/menu/akino
4316,La Strada,"Dorpsstraat 18, 4322AD Scharendijke, ","Maandag: Gesloten voor bezorging
Dinsdag: 16:00 - 22:00
Woensdag: 16:00 - 22:00
Donderdag: 16:00 - 22:00
Vrijdag: 16:00 - 22:00
Zaterdag: 16:00 - 22:00
Zondag: 16:00 - 22:00
","Pizza's, Pasta's, Steaks, Minigerechten, Vleesgerechten, Combi gerechten, Kindermenu, Pita broodjes, ","4,4, op basis van 967 beoordelingen",Bezorgen in 25-50 min,"€ 3,50","€ 35,00",https://www.thuisbezorgd.nl/menu/la-strada-scharendijke
4316,Eetcafé Schouwen,"Sint Domusstraat 19, 4301CM Zierikzee, ","Maandag: 16:00 - 23:50
Dinsdag: 16:00 - 23:50
Woensdag: 16:00 - 23:50
Donderdag: 16:00 - 23:50
Vrijdag: 16:00 - 00:50
Zaterdag: 16:00 - 00:50
Zondag: 16:00 - 23:50
","Pizza's, Lang gerekte pizza's, Schotels, Turkse pizza, Kapsalon, Mixed grill, Mix schotels, Broodjes, ","3,2, op basis van 1.096 beoordelingen",Bezorgen in 20-45 min,"€ 3,00","€ 20,00",https://www.thuisbezorgd.nl/menu/eetcafe-schouwen
4316,Zeeuwse Schatkamer,"Nieuwe Haven 1, 4301DJ Zierikzee, ","Maandag: Gesloten voor bezorging
Dinsdag: Gesloten voor bezorging
Woensdag: 16:00 - 20:00
Donderdag: 16:00 - 20:00
Vrijdag: 16:00 - 20:30
Zaterdag: 16:00 - 20:00
Zondag: 16:00 - 20:00
","Sushi boxen, Poke bowls, Sashimi, Sushi rollen, Sushi per stuk, Snacks, ","4,5, op basis van 209 beoordelingen",Bezorgen in 35-60 min,"€ 7,95","€ 35,00",https://www.thuisbezorgd.nl/menu/zeeuwse-schatkamer
4316,Restaurant Hong Fa,"Verrenieuwstraat 11, 4301HX Zierikzee, ","Maandag: Gesloten voor bezorging
Dinsdag: 17:00 - 20:00
Woensdag: 17:00 - 20:00
Donderdag: Gesloten voor bezorging
Vrijdag: 17:00 - 20:00
Zaterdag: 16:00 - 20:00
Zondag: 16:00 - 20:00
","Kantonese keuken specialiteiten, Soepen, Dim sum en voorgerechten, Nasi gerechten, Bami gerechten, ","3,5, op basis van 1.838 beoordelingen",Bezorgen in 35-60 min,"€ 4,00","€ 20,00",https://www.thuisbezorgd.nl/menu/restaurant-hong-fa
4316,Akino,"Fonteine 1, 4301AG Zierikzee, ","Maandag: 16:00 - 23:50
Dinsdag: 16:00 - 23:50
Woensdag: 16:00 - 23:50
Donderdag: 16:00 - 23:50
Vrijdag: 16:00 - 00:50
Zaterdag: 16:00 - 00:50
Zondag: 16:00 - 23:50
","Kapsalon, Pizza's, Turkse pizza, Pasta's, Schotels, Salades, Dürüm, Mix schotels, Kindermenu's, ","4,4, op basis van 1.354 beoordelingen",Bezorgen in 20-45 min,"€ 3,00","€ 25,00",https://www.thuisbezorgd.nl/menu/akino
4317,Eetcafé Schouwen,"Sint Domusstraat 19, 4301CM Zierikzee, ","Maandag: 16:00 - 23:50
Dinsdag: 16:00 - 23:50
Woensdag: 16:00 - 23:50
Donderdag: 16:00 - 23:50
Vrijdag: 16:00 - 00:50
Zaterdag: 16:00 - 00:50
Zondag: 16:00 - 23:50
","Pizza's, Lang gerekte pizza's, Schotels, Turkse pizza, Kapsalon, Mixed grill, Mix schotels, Broodjes, ","3,2, op basis van 1.096 beoordelingen",Bezorgen in 20-45 min,"€ 3,00","€ 20,00",https://www.thuisbezorgd.nl/menu/eetcafe-schouwen
