GameDate,Game,Home,HTHome,HTAway,HTDraw,HomeOn,HomeOff,HomeDA,AwayOn,AwayOff,AwayDA,HTScore
21/05/23,Los Angeles FC v SJ Earthquakes,1.65,2.16,5.70,2.64,3,6,43,1,11,44,1-1
21/05/23,Portland v Minnesota,2.04,2.86,4.60,2.20,1,17,49,5,2,22,0-0
