Category,Property Type,Address,Bedrooms,Bathrooms,Price,Link,Telephone,Managed,Pool,Furnished
Rent,Townhomes,3240 SW 50th St Fort Lauderdale FL 33312,2,2,"$3,450",https://www.realtor.com/realestateandhomes-detail/3240-SW-50th-St_Fort-Lauderdale_FL_33312_M53064-68820,(954) 787-1821,,Y,N
Rent,Apartment,Fort Lauderdale FL 33312,1,1,"$1,350",https://www.realtor.com/realestateandhomes-detail/Fort-Lauderdale_FL_33312_M59401-60028,(954) 394-9933,,N,N
