Postcode,Name,Address,Opening Times,Categories,Rating,Delivery Time,Delivery Cost,Minimum Order,Product Url
1011,Biertaxi247,"Daalderweg 12, 1507DT Zaandam, ","Maandag: 21:00 - 05:00
Dinsdag: 21:00 - 05:00
Woensdag: 21:00 - 05:00
Donderdag: 20:00 - 05:30
Vrijdag: 20:00 - 06:30
Zaterdag: 20:00 - 06:30
Zondag: 20:00 - 05:30
","Bier, Sterke drank, Wijn, Champagne, Frisdrank, Snacks, Overig, ","4,4, op basis van 29 beoordelingen",Bezorgen in 40-65 min,"€ 3,00","€ 20,00",https://www.thuisbezorgd.nl/menu/biertaxi247
1011,Gely,"Admiraal De Ruijterweg 44, 1056GK Amsterdam, ","Maandag: 23:00 - 06:00
Dinsdag: 23:00 - 06:00
Woensdag: 23:00 - 06:00
Donderdag: 23:00 - 06:00
Vrijdag: 23:00 - 06:00
Zaterdag: 23:00 - 06:00
Zondag: 23:00 - 06:00
","Salades, Pasta's, Italiaanse pizza, Calzone, Schotels, Vleesgerechten, Dürüm, Kapsalon, Broodjes, ","2,6, op basis van 157 beoordelingen",Bezorgen in 10-20 min,"€ 2,50","€ 22,50",https://www.thuisbezorgd.nl/menu/gely
1011,Nonstop Biertaxi,"Nieuwe Hemweg 4C, 1013 BG Amsterdam, ","Maandag: 19:00 - 04:00
Dinsdag: 19:00 - 04:00
Woensdag: 19:30 - 04:00
Donderdag: 19:30 - 04:00
Vrijdag: 18:00 - 05:30
Zaterdag: 18:00 - 05:30
Zondag: 18:00 - 04:00
","Bier, Wijn, Sterke drank/ liquor, Frisdrank, Snacks, Diversen, ","3,1, op basis van 11 beoordelingen",Bezorgen in 50-75 min,"€ 3,99","€ 17,50",https://www.thuisbezorgd.nl/menu/nonstop-biertaxi
1011,Drank 020,,"Maandag: 19:15 - 05:00
Dinsdag: 19:15 - 05:00
Woensdag: 19:15 - 05:00
Donderdag: 19:15 - 05:00
Vrijdag: 19:15 - 06:59
Zaterdag: 19:15 - 06:59
Zondag: 19:15 - 05:00
","Bier, Sterke drank, Wijn, Champagne, Cocktails, Frisdrank, Snacks, Overige, ","4,3, op basis van 63 beoordelingen",Bezorgen in 15-25 min,"€ 2,99","€ 20,00",https://www.thuisbezorgd.nl/menu/drank-020
1011,Spies,"Verrijn Stuartweg 26R, 1112AX Diemen, ","Maandag: 21:45 - 06:59
Dinsdag: 21:45 - 06:15
Woensdag: 21:45 - 06:15
Donderdag: 21:45 - 06:59
Vrijdag: 21:45 - 06:59
Zaterdag: 21:45 - 06:59
Zondag: 21:45 - 06:59
","Burgers, Broodjes, Bijgerechten, Wedges, Sauzen, Desserts, Frisdrank, ","3,8, op basis van 2.494 beoordelingen",Bezorgen in 20-45 min,"€ 3,00","€ 25,00",https://www.thuisbezorgd.nl/menu/spies
1011,The Burgery,"Pieter Calandlaan 19, 1065KH Amsterdam, ","Maandag: 23:00 - 06:59
Dinsdag: 23:00 - 06:59
Woensdag: 23:00 - 06:59
Donderdag: 23:00 - 06:59
Vrijdag: 23:00 - 06:59
Zaterdag: 23:00 - 06:59
Zondag: 23:00 - 06:59
","Specials, Menu's, Burgers en wraps, Kapsalon, Snacks, Buckets, Combo's, Losse producten, ","3,1, op basis van 1.007 beoordelingen",Bezorgen in 40-65 min,"€ 3,99","€ 25,00",https://www.thuisbezorgd.nl/menu/the-burgery
1011,Snackz,"Verrijn Stuartweg 87, 1112AW Diemen, ","Maandag: 22:45 - 06:59
Dinsdag: 22:45 - 06:15
Woensdag: 22:45 - 06:15
Donderdag: 22:45 - 06:59
Vrijdag: 22:45 - 06:59
Zaterdag: 22:45 - 06:59
Zondag: 22:45 - 06:59
","Broodjes, Snacks, Sauzen, Dranken, ","3,1, op basis van 312 beoordelingen",Bezorgen in 75-100 min,"€ 3,00","€ 25,00",https://www.thuisbezorgd.nl/menu/snackz
1011,Anne&Max,"Oostenburgervoorstraat 1, 1018 MN Amsterdam, ","Maandag: 08:00 - 17:00
Dinsdag: 08:00 - 17:00
Woensdag: 08:00 - 17:00
Donderdag: 08:00 - 17:00
Vrijdag: 08:00 - 17:00
Zaterdag: 08:00 - 17:00
Zondag: 08:00 - 17:00
","Anne&Max boxen, Ontbijt, Taart en zoetigheden, Lunch, Bowl, Kids eten, Bites, Sappen en shakes, ","4,2, op basis van 11 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/annemax-amsterdam-oostenburg
1011,Burger King,"Reguliersbreestraat 15-17, 1017CL Amsterdam, ","Maandag: 12:00 - 20:45
Dinsdag: 12:00 - 20:45
Woensdag: 12:00 - 20:45
Donderdag: 12:00 - 20:45
Vrijdag: 12:00 - 20:45
Zaterdag: 12:00 - 20:45
Zondag: 12:00 - 20:45
","Specials, Premium Meals, Classic Meals, Premium Burgers, Classic Burgers, Veggie, Sides & Snacks, ","3,2, op basis van 481 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/burger-king-reguliersbreestraat
1011,Çigköftem,"Eerste van Swindenstraat 401, 1093GB Amsterdam, ","Maandag: 12:30 - 20:30
Dinsdag: 12:30 - 20:30
Woensdag: 12:30 - 20:30
Donderdag: 12:30 - 20:30
Vrijdag: 12:30 - 20:30
Zaterdag: 12:30 - 20:30
Zondag: Gesloten voor bezorging
","Pakketten, Dürüm, Falafel, Extra's, Dranken, Ben & Jerry's 100ml, Ben & Jerry's 465ml, Magnum pints 440ml, ","4,4, op basis van 661 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/cigkoftem-dappermarkt-1
1011,Robo-Bar Asian Grill & Sushi,"Lange Leidseswarsstraat 86, 1017NM Amsterdam, ","Maandag: 14:00 - 21:30
Dinsdag: 14:00 - 21:30
Woensdag: 14:00 - 21:30
Donderdag: 14:00 - 21:30
Vrijdag: 13:00 - 21:30
Zaterdag: 13:00 - 21:30
Zondag: 13:00 - 21:30
","Voorgerechten, Soep, Gebakken rijst, Hoofdgerechten, Noedels, Burgers, Uramaki, Outside crispy roll, ","3,8, op basis van 20 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/robo-bar-asian-grill-sushi
1011,Mana Mana Leidse,"Lange Leidsedwarsstraat 93H, 1017NH Amsterdam, ","Maandag: Gesloten voor bezorging
Dinsdag: 16:15 - 21:30
Woensdag: 16:15 - 21:30
Donderdag: 16:15 - 21:30
Vrijdag: 16:15 - 21:30
Zaterdag: 11:45 - 21:30
Zondag: 11:45 - 21:30
","Mana classic, Mana Mana, Bijgerechten, Mana zoetigheden, Witte wijnen, Rode wijnen, Roséwijnen, ","3,8, op basis van 10 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/mana-mana-leidse
1011,SLA,"Utrechtsestraat 10 H, 1017VN Amsterdam, ","Maandag: 11:30 - 21:00
Dinsdag: 11:30 - 21:00
Woensdag: 11:30 - 21:00
Donderdag: 11:30 - 21:00
Vrijdag: 11:30 - 21:00
Zaterdag: 11:30 - 21:00
Zondag: 11:30 - 21:00
","Combi deals, Salades en bowls, Wrap It Up, Warming Bowls, Create your own, Spreads, Sappen, ","4,3, op basis van 174 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/sla-utrechtsestraat
1011,American Pizza,"Muiderstraat 18 unit 2, 1011 RB Amsterdam, ","Maandag: 20:00 - 05:00
Dinsdag: 20:00 - 04:45
Woensdag: 20:00 - 05:00
Donderdag: 20:00 - 05:00
Vrijdag: 20:00 - 05:00
Zaterdag: 20:00 - 05:00
Zondag: 20:00 - 05:00
","Pizza's, Burgers, Kapsalons, Snacks, Frisdrank, ","3,9, op basis van 30 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/pizza-king-new
1011,Sugoi Sushi,"Willemstraat 95H, 1015HZ Amsterdam, ","Maandag: Gesloten voor bezorging
Dinsdag: Gesloten voor bezorging
Woensdag: 16:00 - 21:00
Donderdag: 16:00 - 21:00
Vrijdag: 16:00 - 21:00
Zaterdag: 16:00 - 21:00
Zondag: 16:00 - 21:00
","Specialiteiten, Menu's, Kabayaki menu's, Uramaki, Warm dishes, Salades, Temaki, Sashimi, ","4,7, op basis van 80 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/sugoi-sushi-amsterdam-1
1011,Roti Shop,"Kinkerstraat 43, 1053DD Amsterdam, ","Maandag: 11:00 - 23:45
Dinsdag: 11:00 - 23:45
Woensdag: 11:00 - 23:45
Donderdag: 11:00 - 23:45
Vrijdag: 11:00 - 23:45
Zaterdag: 11:00 - 23:45
Zondag: 11:00 - 23:45
","Stel zelf uw menu samen, Voorgerechten, Exotische broodjes, Gevulde bara, Roti rollen, Roti gerechten, ","4,3, op basis van 13.800 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/roti-shop
1011,Vegan Burger Brothers,"Quellijnstraat 105H, 1073XH Amsterdam, ","Maandag: 11:00 - 21:30
Dinsdag: 11:00 - 21:30
Woensdag: 11:00 - 21:30
Donderdag: 11:00 - 21:30
Vrijdag: 11:00 - 23:00
Zaterdag: 11:00 - 23:00
Zondag: 11:00 - 23:00
","Vegan burgers, Vegan kip, Menu's, Bijgerechten, Nagerechten, Sauzen, Drinks, ","4,2, op basis van 126 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/doner-dudes
1011,Tandoori Express,"Kinkerstraat 43, 1053DD Amsterdam, ","Maandag: 11:00 - 23:45
Dinsdag: 11:00 - 23:45
Woensdag: 11:00 - 23:45
Donderdag: 11:00 - 23:45
Vrijdag: 11:00 - 23:45
Zaterdag: 11:00 - 23:45
Zondag: 11:00 - 23:45
","Maandmenu, Special menu's, Studenten specials, Indiaase voorgerechten, Tandoori gerechten, Chicken curry gerechten, ","4,6, op basis van 11.296 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/tandoori-express
